rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz
01/01/2000,04:18:47.10,289.06,9.28,-942.38,-0.15,3.24,-0.21,-28.80,-27.45,16.95,26.11,0.0
01/01/2000,04:18:47.20,299.80,8.79,-893.07,2.15,5.17,-2.31,-29.70,-24.75,15.75,26.26,20.0
01/01/2000,04:18:47.30,287.11,20.51,-906.74,0.05,-5.87,-0.31,-28.50,-26.10,15.60,26.11,15.0
01/01/2000,04:18:47.40,288.57,17.09,-939.94,-0.20,-3.21,-1.69,-29.40,-27.0,15.0,26.30,13.333
01/01/2000,04:18:47.50,294.92,12.21,-922.36,1.56,6.98,-2.63,-28.80,-25.65,14.85,25.97,12.500
01/01/2000,04:18:47.60,295.90,13.18,-893.07,-1.89,-1.56,1.82,-30.45,-25.80,15.0,26.26,12.0
01/01/2000,04:18:47.70,287.60,7.32,-913.57,0.28,-2.66,2.39,-29.55,-26.10,14.85,26.11,11.667
01/01/2000,04:18:47.80,294.92,19.04,-911.62,1.02,1.31,-1.76,-29.40,-26.55,14.40,26.26,11.429
01/01/2000,04:18:47.90,294.43,15.63,-908.20,-0.28,2.22,-0.22,-29.10,-26.40,15.60,26.11,11.250
01/01/2000,04:18:48.00,303.22,19.53,-926.27,1.11,-2.01,1.82,-28.80,-26.40,15.60,26.11,11.111
01/01/2000,04:18:48.10,291.02,17.09,-923.83,-0.66,1.40,-1.64,-28.65,-26.55,14.40,26.30,11.0
01/01/2000,04:18:48.20,304.20,11.23,-913.57,-0.53,-0.37,-2.66,-29.85,-24.90,16.65,26.06,10.909
01/01/2000,04:18:48.30,287.60,1.46,-908.20,2.44,-0.16,-1.47,-29.85,-26.70,14.85,25.87,10.833
01/01/2000,04:18:48.40,298.34,7.32,-925.78,-1.01,-2.34,2.0,-31.05,-27.0,16.50,25.92,10.687
01/01/2000,04:18:48.50,299.32,8.30,-911.62,0.27,0.40,1.55,-29.10,-26.40,12.75,25.97,10.638
01/01/2000,04:18:48.60,283.20,16.60,-917.48,-1.24,0.06,-3.79,-29.10,-26.40,15.60,26.06,10.596
01/01/2000,04:18:48.70,307.62,4.88,-913.57,1.21,1.08,-4.68,-30.45,-25.80,15.45,26.30,10.559
01/01/2000,04:18:48.80,297.85,21.97,-918.95,-2.09,1.96,0.23,-31.95,-27.15,15.15,26.21,10.526
01/01/2000,04:18:48.91,294.43,9.77,-914.06,1.63,2.55,-1.49,-30.0,-26.55,15.75,26.06,10.497
01/01/2000,04:18:49.01,280.76,17.09,-914.55,-0.40,-2.27,0.18,-29.40,-27.30,15.75,26.26,10.471
01/01/2000,04:18:49.11,294.92,16.11,-920.90,-0.92,-3.91,1.24,-29.55,-26.40,14.85,25.97,10.448
01/01/2000,04:18:49.21,282.71,0.49,-913.57,-0.16,3.08,-1.79,-28.95,-27.0,15.45,25.92,10.427
01/01/2000,04:18:49.31,306.64,19.53,-904.79,0.43,-0.62,-1.37,-30.0,-27.75,15.45,26.11,10.407
01/01/2000,04:18:49.41,295.90,10.74,-936.04,0.15,-1.90,3.07,-30.0,-25.50,15.0,26.21,10.390
01/01/2000,04:18:49.51,299.32,8.79,-935.06,1.85,4.73,0.11,-29.40,-27.30,15.45,26.30,10.373
01/01/2000,04:18:49.61,291.50,20.02,-903.81,-0.57,1.39,1.76,-30.45,-27.15,16.20,26.11,10.359
01/01/2000,04:18:49.71,292.97,10.25,-914.06,-0.75,-2.92,-0.02,-30.0,-27.30,15.0,25.97,10.345
